week,date,water,process,spike,target,count,percent_VLP,percent_large,count/100mL
1,5/10/2023,PBS,samp,Neg1,Total Events,2759,0.16,0.84,1263008889
1,5/10/2023,INF,samp,Neg1,Total Events,91707,0.72,0.28,41981426667
1,5/10/2023,SEC,samp,Neg1,Total Events,102993,0.96,0.04,47147906667
1,5/10/2023,EFF,samp,Neg1,Total Events,172403,0.98,0.02,78922262222
1,5/10/2023,INF,samp,Neg2,Total Events,91842,0.74,0.26,42043226667
1,5/10/2023,SEC,samp,Neg2,Total Events,113584,0.98,0.02,51996231111
1,5/10/2023,EFF,samp,Neg2,Total Events,164696,0.98,0.02,75394168889
1,5/10/2023,INF,samp,Neg3,Total Events,79710,0.74,0.26,36489466667
1,5/10/2023,SEC,samp,Neg3,Total Events,94811,0.97,0.03,43402368889
1,5/10/2023,EFF,samp,Neg3,Total Events,152915,0.98,0.02,70001088889
1,5/10/2023,INF,samp,Neg4,Total Events,77024,0.73,0.27,35259875556
1,5/10/2023,SEC,samp,Neg4,Total Events,88279,0.97,0.03,40412164444
1,5/10/2023,EFF,samp,Neg4,Total Events,135302,0.97,0.03,61938248889
1,5/10/2023,PBS,samp,Neg2,Total Events,2752,0.11,0.89,1259804444
1,5/10/2023,PBS,samp,Neg3,Total Events,2436,0.14,0.86,1115146667
1,5/10/2023,PBS,samp,Neg4,Total Events,2104,0.11,0.89,963164444.4
2,5/18/2023,INF,samp,Neg1,Total Events,59218,0.69,0.31,27108684444
2,5/18/2023,SEC,samp,Neg1,Total Events,75394,0.96,0.04,34513697778
2,5/18/2023,EFF,samp,Neg1,Total Events,122830,0.97,0.03,56228844444
2,5/18/2023,INF,samp,Neg2,Total Events,55973,0.7,0.3,25623195556
2,5/18/2023,SEC,samp,Neg2,Total Events,78848,0.97,0.03,36094862222
2,5/18/2023,EFF,samp,Neg2,Total Events,125733,0.97,0.03,57557773333
2,5/18/2023,INF,samp,Neg3,Total Events,53035,0.7,0.3,24278244444
2,5/18/2023,SEC,samp,Neg3,Total Events,74320,0.96,0.04,34022044444
2,5/18/2023,EFF,samp,Neg3,Total Events,117036,0.98,0.02,53576480000
2,5/18/2023,INF,samp,Neg4,Total Events,48834,0.7,0.3,22355120000
2,5/18/2023,SEC,samp,Neg4,Total Events,74127,0.96,0.04,33933693333
2,5/18/2023,EFF,samp,Neg4,Total Events,112788,0.98,0.02,51631840000
2,5/18/2023,PBS,samp,Neg1,Total Events,3023,0.13,0.87,1383862222
2,5/18/2023,PBS,samp,Neg2,Total Events,2412,0.1,0.9,1104160000
2,5/18/2023,PBS,samp,Neg3,Total Events,2690,0.14,0.86,1231422222
2,5/18/2023,PBS,samp,Neg4,Total Events,2510,0.13,0.87,1149022222
3,5/24/2023,INF,samp,Neg1,Total Events,63186,0.7,0.3,28925146667
3,5/24/2023,SEC,samp,Neg1,Total Events,77893,0.96,0.04,35657684444
3,5/24/2023,EFF,samp,Neg1,Total Events,171313,0.98,0.02,78423284444
3,5/24/2023,INF,samp,Neg2,Total Events,59328,0.71,0.29,27159040000
3,5/24/2023,SEC,samp,Neg2,Total Events,75220,0.96,0.04,34434044444
3,5/24/2023,EFF,samp,Neg2,Total Events,154173,0.98,0.02,70576973333
3,5/24/2023,INF,samp,Neg3,Total Events,51687,0.69,0.31,23661160000
3,5/24/2023,SEC,samp,Neg3,Total Events,58279,0.95,0.05,26678831111
3,5/24/2023,EFF,samp,Neg3,Total Events,132134,0.98,0.02,60488008889
3,5/24/2023,INF,samp,Neg4,Total Events,36920,0.59,0.41,16901155556
3,5/24/2023,SEC,samp,Neg4,Total Events,33632,0.92,0.08,15395982222
3,5/24/2023,EFF,samp,Neg4,Total Events,105683,0.98,0.02,48379328889
3,5/24/2023,PBS,samp,Neg1,Total Events,2854,0.09,0.91,1306497778
3,5/24/2023,PBS,samp,Neg2,Total Events,2377,0.08,0.92,1088137778
3,5/24/2023,PBS,samp,Neg3,Total Events,2210,0.06,0.94,1011688889
3,5/24/2023,PBS,samp,Neg4,Total Events,2114,0.04,0.96,967742222.2
4,5/31/2023,INF,samp,Neg1,Total Events,37943,0.62,0.38,17369462222
4,5/31/2023,SEC,samp,Neg1,Total Events,43156,0.9,0.1,19755857778
4,5/31/2023,EFF,samp,Neg1,Total Events,111662,0.97,0.03,51116382222
4,5/31/2023,INF,samp,Neg2,Total Events,24962,0.48,0.52,11427048889
4,5/31/2023,SEC,samp,Neg2,Total Events,24346,0.87,0.13,11145057778
4,5/31/2023,EFF,samp,Neg2,Total Events,82620,0.96,0.04,37821600000
4,5/31/2023,INF,samp,Neg3,Total Events,N/A,N/A,N/A,N/A
4,5/31/2023,SEC,samp,Neg3,Total Events,12988,0.76,0.24,5945617778
4,5/31/2023,EFF,samp,Neg3,Total Events,37268,0.93,0.07,17060462222
4,5/31/2023,SEC,samp,Neg4,Total Events,5047,0.43,0.57,2310404444
4,5/31/2023,EFF,samp,Neg4,Total Events,5657,0.58,0.42,2589648889
4,5/31/2023,INF,samp,Neg4,Total Events,15357,0.23,0.77,7030093333
4,5/31/2023,PBS,samp,Neg1,Total Events,3644,0.07,0.93,1668142222
4,5/31/2023,PBS,samp,Neg2,Total Events,2568,0.03,0.97,1175573333
4,5/31/2023,PBS,samp,Neg3,Total Events,2444,0.04,0.96,1118808889
4,5/31/2023,PBS,samp,Neg4,Total Events,2139,0.02,0.98,979186666.7
5,6/7/2023,INF,samp,Neg1,Total Events,65512,0.68,0.32,29989937778
5,6/7/2023,SEC,samp,Neg1,Total Events,51172,0.9,0.1,23425404444
5,6/7/2023,EFF,samp,Neg1,Total Events,104263,0.96,0.04,47729284444
5,6/7/2023,INF,samp,Neg2,Total Events,60944,0.7,0.3,27898808889
5,6/7/2023,SEC,samp,Neg2,Total Events,55441,0.93,0.07,25379657778
5,6/7/2023,EFF,samp,Neg2,Total Events,105192,0.96,0.04,48154560000
5,6/7/2023,SEC,samp,Neg3,Total Events,23376,0.86,0.14,10701013333
5,6/7/2023,INF,samp,Neg3,Total Events,47139,0.64,0.36,21579186667
5,6/7/2023,EFF,samp,Neg3,Total Events,82633,0.96,0.04,37827551111
5,6/7/2023,SEC,samp,Neg4,Total Events,6487,0.55,0.45,2969604444
5,6/7/2023,EFF,samp,Neg4,Total Events,8856,0.73,0.27,4054080000
5,6/7/2023,INF,samp,Neg4,Total Events,26798,0.42,0.58,12267528889
5,6/7/2023,PBS,samp,Neg1,Total Events,3748,0.08,0.92,1715751111
5,6/7/2023,PBS,samp,Neg2,Total Events,3692,0.05,0.95,1690115556
5,6/7/2023,PBS,samp,Neg3,Total Events,2854,0.07,0.93,1306497778
5,6/7/2023,PBS,samp,Neg4,Total Events,2802,0.03,0.97,1282693333
6,6/14/2023,EFF,samp,Neg1,Total Events,66024,0.69,0.31,30224320000
6,6/14/2023,SEC,samp,Neg1,Total Events,80249,0.94,0.06,36736208889
6,6/14/2023,INF,samp,Neg1,Total Events,140990,0.97,0.03,64542088889
6,6/14/2023,EFF,samp,Neg2,Total Events,72535,0.72,0.28,33204911111
6,6/14/2023,SEC,samp,Neg2,Total Events,114163,0.96,0.04,52261284444
6,6/14/2023,INF,samp,Neg2,Total Events,150265,0.97,0.03,68787977778
6,6/14/2023,EFF,samp,Neg3,Total Events,75821,0.74,0.26,34709168889
6,6/14/2023,SEC,samp,Neg3,Total Events,93680,0.96,0.04,42884622222
6,6/14/2023,INF,samp,Neg3,Total Events,147543,0.97,0.03,67541906667
6,6/14/2023,EFF,samp,Neg4,Total Events,78572,0.76,0.24,35968515556
6,6/14/2023,SEC,samp,Neg4,Total Events,95187,0.96,0.04,43574493333
6,6/14/2023,INF,samp,Neg4,Total Events,150193,0.97,0.03,68755017778
6,6/14/2023,PBS,samp,Neg1,Total Events,8996,0.28,0.72,4118168889
6,6/14/2023,PBS,samp,Neg2,Total Events,3661,0.14,0.86,1675924444
6,6/14/2023,PBS,samp,Neg3,Total Events,3218,0.13,0.87,1473128889
6,6/14/2023,PBS,samp,Neg4,Total Events,2970,0.11,0.89,1359600000
7,6/21/2023,SEC,samp,Neg1,Total Events,43252,0.89,0.11,19799804444
7,6/21/2023,INF,samp,Neg1,Total Events,64733,0.67,0.33,29633328889
7,6/21/2023,EFF,samp,Neg1,Total Events,98391,0.96,0.04,45041213333
7,6/21/2023,EFF,samp,Neg2,Total Events,N/A,N/A,N/A,N/A
7,6/21/2023,SEC,samp,Neg2,Total Events,N/A,N/A,N/A,N/A
7,6/21/2023,INF,samp,Neg2,Total Events,63460,0.67,0.33,29050577778
7,6/21/2023,INF,samp,Neg3,Total Events,48065,0.61,0.39,22003088889
7,6/21/2023,SEC,samp,Neg3,Total Events,45582,0.9,0.1,20866426667
7,6/21/2023,EFF,samp,Neg3,Total Events,91700,0.96,0.04,41978222222
7,6/21/2023,SEC,samp,Neg4,Total Events,14152,0.72,0.28,6478471111
7,6/21/2023,INF,samp,Neg4,Total Events,31245,0.45,0.55,14303266667
7,6/21/2023,EFF,samp,Neg4,Total Events,56922,0.94,0.06,26057626667
7,6/21/2023,PBS,samp,Neg1,Total Events,4224,0.12,0.88,1933653333
7,6/21/2023,PBS,samp,Neg2,Total Events,3294,0.02,0.98,1507920000
7,6/21/2023,PBS,samp,Neg3,Total Events,3309,0.08,0.92,1514786667
7,6/21/2023,PBS,samp,Neg4,Total Events,2866,0.03,0.97,1311991111
8,6/29/2023,INF,samp,Neg1,Total Events,31299,0.69,0.31,14327986667
8,6/29/2023,SEC,samp,Neg1,Total Events,35922,0.86,0.14,16444293333
8,6/29/2023,EFF,samp,Neg1,Total Events,111567,0.96,0.04,51072893333
8,6/29/2023,INF,samp,Neg2,Total Events,24560,0.64,0.36,11243022222
8,6/29/2023,SEC,samp,Neg2,Total Events,85024,0.94,0.06,38922097778
8,6/29/2023,EFF,samp,Neg2,Total Events,123724,0.97,0.03,56638097778
8,6/29/2023,INF,samp,Neg3,Total Events,26756,0.7,0.3,12248302222
8,6/29/2023,SEC,samp,Neg3,Total Events,116172,0.96,0.04,53180960000
