well,date,conc(copies/µLVol),water,target,copies/100mL
C01,5/10/2023,52.17838287,INF,PMMoV,42813032.1
D01,5/10/2023,55.80744934,INF,PMMoV,45790727.66
E01,5/10/2023,52.55538559,INF,PMMoV,43122367.66
C01,5/10/2023,56.1058197,INF,CrAss,46035544.37
D01,5/10/2023,51.3837471,INF,CrAss,42161023.26
E01,5/10/2023,55.1500206,INF,CrAss,45251298.95
C01,5/10/2023,84.0160141,INF,ToBRFV,68936216.7
D01,5/10/2023,80.38511658,INF,ToBRFV,65957018.73
E01,5/10/2023,76.9567337,INF,ToBRFV,63143986.63
F01,5/10/2023,25.04790878,SEC,PMMoV,2.06E+06
G01,5/10/2023,26.82701683,SEC,PMMoV,2.20E+06
H01,5/10/2023,25.18654442,SEC,PMMoV,2.07E+06
F01,5/10/2023,N/A,SEC,CrAss,N/A
G01,5/10/2023,N/A,SEC,CrAss,N/A
H01,5/10/2023,N/A,SEC,CrAss,N/A
F01,5/10/2023,25.04790878,SEC,ToBRFV,2.06E+06
G01,5/10/2023,26.82701683,SEC,ToBRFV,2.20E+06
H01,5/10/2023,25.18654442,SEC,ToBRFV,2.07E+06
A02,5/10/2023,302.8358765,EFF,PMMoV,2.48E+06
B02,5/10/2023,296.9362488,EFF,PMMoV,2.44E+06
C02,5/10/2023,301.6613464,EFF,PMMoV,2.48E+06
A02,5/10/2023,N/A,EFF,CrAss,N/A
B02,5/10/2023,N/A,EFF,CrAss,N/A
C02,5/10/2023,N/A,EFF,CrAss,N/A
A02,5/10/2023,1543.211792,EFF,ToBRFV,1.27E+07
B02,5/10/2023,1533.754639,EFF,ToBRFV,1.26E+07
C02,5/10/2023,1532.177979,EFF,ToBRFV,1.26E+07
D02,5/18/2023,59.55606079,INF,PMMoV,48866511.42
E02,5/18/2023,57.96112442,INF,PMMoV,47557845.68
F02,5/18/2023,58.96525192,INF,PMMoV,48381745.17
D02,5/18/2023,40.04336166,INF,CrAss,32856091.62
E02,5/18/2023,41.8252449,INF,CrAss,34318149.66
F02,5/18/2023,45.19352341,INF,CrAss,37081865.36
D02,5/18/2023,46.3552475,INF,ToBRFV,38035074.87
E02,5/18/2023,49.29928207,INF,ToBRFV,40450692.98
F02,5/18/2023,51.21282578,INF,ToBRFV,42020780.13
A03,5/18/2023,2.590174913,SEC,PMMoV,212527.1723
G02,5/18/2023,2.06500268,SEC,PMMoV,169436.1173
H02,5/18/2023,2.782170534,SEC,PMMoV,228280.6592
A03,5/18/2023,N/A,SEC,CrAss,N/A
G02,5/18/2023,N/A,SEC,CrAss,N/A
H02,5/18/2023,N/A,SEC,CrAss,N/A
A03,5/18/2023,2.590174913,SEC,ToBRFV,212527.1723
G02,5/18/2023,2.06500268,SEC,ToBRFV,169436.1173
H02,5/18/2023,2.782170534,SEC,ToBRFV,228280.6592
B03,5/18/2023,2.295787334,EFF,PMMoV,18837.22941
C03,5/18/2023,2.521607876,EFF,PMMoV,20690.11591
D03,5/18/2023,2.151473045,EFF,PMMoV,17653.11216
B03,5/18/2023,N/A,EFF,CrAss,N/A
C03,5/18/2023,N/A,EFF,CrAss,N/A
D03,5/18/2023,N/A,EFF,CrAss,N/A
B03,5/18/2023,13.17558575,EFF,ToBRFV,108107.3703
C03,5/18/2023,15.27686119,EFF,ToBRFV,125348.6046
D03,5/18/2023,15.53380299,EFF,ToBRFV,127456.845
E03,5/24/2023,74.86543274,INF,PMMoV,61428047.38
F03,5/24/2023,73.42953491,INF,PMMoV,60249874.8
G03,5/24/2023,66.77464294,INF,PMMoV,54789450.62
E03,5/24/2023,32.19654465,INF,CrAss,26417677.66
